userName,id,rank,scorePerMinute,killsPerMinute,winPercent,killDeath,quits,accuracy,headshots,secondsPlayed,kills,deaths,wins,loses,avengerKills,saviorKills,headShots,heals,revives,repairs,resupplies,killAssists,skill,longestHeadShot,highestKillStreak
e149c70835b9c27227febeb56c803,3803617152,2,154,0.5,16.67,0.7,70.0,7.45,19.05,7602,63,90,1,5,9,7,12,0,0,0,0,7,131,114.34,4
bd28b8615e1c18b20bf8b96f52c17,3306283139,140,865,1.69,62.74,3.47,34.32,27.87,13.34,7503480,211779,60952,3128,1858,14090,13963,28247,24156,12134,10859,8446,13380,678,651.2,96
0b9efa1d61d7bd0a97d97f801189b,839116084,18,594,1.57,62.07,3.01,53.23,19.9,18.37,45989,1203,400,18,11,178,142,221,390,24,0,197,127,488,144.6,16
fe631aac5468b3013c486e6b0f3dc,2438990646,13,319,0.77,48.65,0.84,7.5,14.52,15.01,49551,633,755,18,19,83,67,95,18,10,0,3,85,234,385.55,7
2730392684fac8b7e4ea1e56598cd,3041742356,2,227,0.38,33.33,0.67,40.0,11.45,53.85,4153,26,39,1,2,4,2,14,2,0,0,0,4,119,187.0,3
89c5a0ac8871efb39493ebd60e74f,336474812,2,158,0.4,33.33,0.65,57.14,3.74,21.95,6229,41,63,1,2,3,3,9,0,0,0,0,3,117,91.89,5
bda23e394b6ed679dc9fe5b5e4ffd,89492110,19,751,0.63,36.36,0.95,53.19,10.5,14.81,42122,439,464,8,14,50,50,65,7,15,52,128,54,208,169.81,9
0cd7fc09505db3f7d8f59db94f3f5,4091785740,5,264,0.33,33.33,0.48,57.14,8.82,6.15,11823,65,136,2,4,12,10,4,30,44,0,0,11,118,22.41,5
005955344c726b561622bef45e760,1709140137,9,336,0.39,33.33,0.91,47.06,7.11,13.4,29788,194,213,6,12,21,14,26,19,0,4,41,31,137,80.18,6
7cac578bfa83a6e56946c6ee57834,1371133083,52,669,0.57,49.26,0.8,21.84,11.32,15.89,248169,2348,2942,67,69,228,221,373,1114,284,271,300,291,226,368.16,11
a2673e14a6269313500f7d8aaa873,4166320130,85,737,0.75,45.06,0.85,44.03,10.02,17.05,521122,6534,7715,114,139,988,1068,1114,2124,303,49,725,971,227,172.01,22
bc9793427601c3cb215efc8d52368,2335511838,40,435,0.53,47.06,0.77,34.62,8.49,17.4,250237,2218,2892,64,72,207,124,386,240,3,111,0,192,219,263.78,10
1ff457ee2b6c0939b2b4c8cad6512,1853491695,34,276,0.27,44.51,0.4,40.91,5.2,15.52,300439,1372,3465,81,101,197,164,213,3512,651,39,31,227,148,317.14,6
8937d37722a872576be05c1ef0c51,1223008735,20,320,0.51,52.54,0.89,27.16,7.4,24.0,106599,904,1018,31,28,115,89,217,784,92,22,13,120,175,511.26,11
aaa33b0c49694e454a002bff9119a,4162303302,10,388,1.03,66.67,1.28,44.44,17.96,27.22,27569,474,371,10,5,47,27,129,0,2,0,4,28,250,213.77,9
5682a02abbb6f635a9428f80855ad,2694557313,36,686,1.0,54.67,1.48,27.18,13.89,20.49,134322,2235,1515,41,34,242,238,458,315,280,8,42,226,303,412.17,16
4d423b92e17bf262ca5acd5dbe2a6,3486939798,0,91,0.27,0.0,1.5,100.0,2.13,0.0,680,3,2,0,0,0,0,0,0,0,0,0,0,85,0.0,1
7b4fc577fea82343e42e4ac67d496,319721452,12,352,0.81,70.37,0.97,30.77,12.18,19.31,43162,580,600,19,8,50,75,112,268,35,9,15,84,305,240.92,8
13c31dba15cdf81509a392cbc60fb,1763831672,65,424,0.37,55.81,0.84,55.28,15.06,12.85,573098,3487,4152,149,118,229,188,448,834,117,665,10,358,173,559.41,29
1e92979f0140f15bf116304e19f71,1390463343,14,249,0.46,51.22,0.62,48.75,11.11,17.91,75279,575,923,21,20,91,104,103,775,48,0,28,117,161,272.4,7
ec4d43444969fa51e08034dfe1a16,3800946034,140,707,1.21,51.72,6.49,22.93,19.71,5.6,7668890,154576,23807,1594,1488,6759,7114,8649,10525,978,13671,233,11241,437,498.65,102
a5ecb24e3260952204355e0e8d793,991662295,135,423,0.7,48.3,1.15,38.91,13.3,14.01,3877260,45348,39361,1277,1367,4305,4408,6355,429,3192,491,2243,4049,243,539.25,34
c4b061606898ecefc29df081884ab,3109104738,18,504,0.53,52.94,0.87,67.92,13.11,17.5,57126,503,579,18,16,50,61,88,631,108,20,20,60,251,140.17,8
d397293febb45145e51af022f8f80,1256358438,23,723,1.13,54.55,1.31,38.03,11.28,19.95,58139,1098,841,24,20,137,66,219,752,159,0,127,77,425,331.79,11
b41d805da04f2e14c7dd37aa2a87c,2631872087,95,961,1.01,57.85,1.97,22.19,15.73,15.62,483961,8176,4140,140,102,676,373,1277,2075,75,457,88,561,394,501.77,50
de98b1cb4d882060e8216d7fe87b4,2193630621,55,2299,0.71,47.54,1.2,29.07,13.94,15.81,81060,955,795,29,32,115,120,151,163,105,0,47,96,226,381.17,16
c8cc77ccac42f9169fa2f72dfd57c,1385527873,128,436,0.48,48.58,0.77,13.47,13.54,11.97,2960360,23521,30445,905,958,2047,1688,2816,4072,1743,2289,2614,2400,236,964.29,38
6ab1fb4268fd14e82238ec6ad13ab,3787646881,117,424,0.59,45.33,1.18,23.22,11.51,18.03,1975580,19486,16538,553,667,1857,1499,3514,18514,4237,5187,1515,1950,125,360.15,16
bcb26feab348b6c866a5f18134234,2463984111,31,427,0.69,39.13,1.04,31.85,8.55,13.4,163166,1880,1814,36,56,250,214,252,612,171,96,2000,204,247,306.41,16
5c0a48b53c3fa446c7bd36c1366bf,3072297948,132,449,1.29,52.55,1.55,39.88,13.44,19.27,3279110,70584,45454,1082,977,8769,4454,13599,45818,16536,0,83,4905,366,177.13,16
3b8d14666a037213bd9f833541b66,1773283511,134,537,0.53,46.41,0.94,18.75,9.89,14.76,3029020,26552,28281,867,1001,2404,1926,3918,6186,1948,1358,962,3108,249,653.8,24
c38f650e6227473af112ccbce92a6,4248929412,54,375,0.45,48.77,0.68,51.44,8.69,18.93,482601,3593,5297,99,104,304,295,680,744,240,102,232,438,152,374.72,9
1e36ebe7d8e4f1b7f761dab69daec,2624160565,26,1113,0.89,51.43,1.16,20.45,9.65,14.66,48683,723,625,18,17,103,87,106,10,2,0,925,94,329,204.17,12
496098ec04135fecfc3e7b8152b25,2056652815,12,498,0.7,50.0,1.03,55.56,8.15,13.73,30621,357,347,10,10,42,32,49,81,47,0,0,43,219,196.21,6
fa573cd805d5fb4ca59e339c6efc8,1056095965,40,644,0.7,43.88,0.94,31.47,11.82,26.38,172085,2017,2143,43,55,242,223,532,479,21,0,0,238,204,261.92,8
f0f7eac8c96309d1e6b893ba62846,2037247896,140,377,0.67,47.85,0.77,18.48,11.53,17.82,5682770,62999,81306,1838,2003,7133,7203,11225,14928,4418,755,37350,8509,290,307.85,18
f848f06c972c548eb3f1f1f5098b8,2593174322,22,424,0.15,41.3,0.28,45.24,2.88,5.41,91737,222,780,19,27,15,15,12,145,19,23,6,27,148,148.77,5
31e0fc5d88356724b9be223842be9,3301508058,6,395,0.56,50.0,0.87,38.46,4.48,51.46,11020,103,118,4,4,13,14,53,0,0,0,0,6,131,338.9,5
e7a1e8d4a2d6479084c0c17e90dc7,3448989675,10,233,0.36,39.39,0.66,40.0,11.27,7.61,46667,276,416,13,20,37,21,21,340,120,23,123,24,174,118.25,7
9ea916b3d728cf3c4cd2c63f457bb,1169933135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
6d8aba03576e011c02de2fdacb000,2825568191,1,76,0.11,16.67,0.37,14.29,2.68,20.0,5462,10,27,1,5,1,0,2,0,0,0,0,1,68,69.85,2
8227e2718c36ecae89412df47b7ad,4107500035,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
91fcafc2a6fcd9a340abefd34bce0,2529951757,2,230,0.76,50.0,0.94,55.56,13.35,5.88,4078,51,54,2,2,3,2,3,0,0,0,0,4,136,23.86,5
4b3f1fa76cc7ef7aafdcf8114e123,918525846,106,1498,0.73,48.57,1.0,35.19,13.99,24.2,386462,4703,4724,102,108,447,456,1138,1054,176,45,6,463,213,242.68,11
78d384e28ee2a28a550aeebc4eff0,1295162017,115,448,0.65,58.62,1.15,56.88,9.86,12.28,1728500,18808,16332,483,341,1606,1892,2310,978,1894,545,3222,2380,262,689.94,43
dee2b57ea1d68ccaebd8a74ffac2c,916800564,43,1303,1.43,48.48,1.95,31.96,22.0,21.05,95333,2271,1165,32,34,228,216,478,945,240,91,8,141,389,189.59,18
8712e736f2a33930a6bc84ec9c447,1245879242,111,1484,0.82,48.14,1.01,30.45,11.66,14.6,450551,6171,6131,155,167,707,695,901,3007,1420,55,376,756,359,326.06,14
34720c1740caffba8f9bc2b099ee8,1675020978,16,711,0.69,52.38,0.88,34.38,14.14,19.7,34257,396,452,11,10,53,42,78,404,199,3,0,54,252,113.63,7
4734d6574aa1a080cedf218169329,3294965052,13,389,0.46,41.67,0.73,57.14,10.2,20.86,45213,350,478,10,14,40,33,73,51,85,71,12,53,186,80.68,7
f8c66df2c06a5d03350d17220204f,2245834486,10,278,0.46,50.0,0.65,44.68,11.45,14.34,36284,279,431,13,13,29,19,40,36,5,0,16,36,189,69.91,6
