userName,id,rank,scorePerMinute,killsPerMinute,winPercent,killDeath,quits,accuracy,headshots,secondsPlayed,kills,deaths,wins,loses,avengerKills,saviorKills,headShots,heals,revives,repairs,resupplies,killAssists,skill,longestHeadShot,highestKillStreak
153e5239c59cf8f38bd5dbb8ec34d,2636523548,47,1149,0.73,52.56,1.14,30.36,7.19,14.35,121901,1484,1299,41,37,146,83,213,813,238,10,95,104,259,286.55,11
ebc228e1ed3b025d625a1ffa3a48f,2736352487,46,315,0.28,49.63,0.57,36.17,7.46,14.62,430641,2039,3594,134,136,150,154,298,731,134,1013,362,212,205,106.18,10
798cd0a8f5db71d164bd9361ea8ad,83900344,30,584,0.73,61.36,0.86,40.54,11.73,18.71,112433,1363,1589,27,17,178,146,255,34,274,0,0,156,242,148.24,10
dfaeecc6e6313218fd51083b3d355,441884505,140,774,1.1,54.27,1.78,13.49,12.86,13.01,5588560,102166,57247,1685,1420,8479,6329,13292,20505,8686,7321,4500,7485,409,555.55,61
0b4c0f4600a6ca71f5ab0f74a519d,2750491032,48,756,0.95,46.6,1.38,38.69,14.58,15.8,196315,3120,2255,48,55,428,425,493,3794,476,0,111,371,364,238.59,15
a1999e44a750554b8518ed6c7f023,3047204644,134,569,0.71,53.37,2.52,47.68,17.16,6.78,2795060,33136,13124,674,589,1661,1381,2246,1390,327,2931,2061,2517,249,527.01,84
d16d4eb07f5239fc192c3f9b74aa0,3214291160,70,1098,0.63,47.32,0.94,25.72,9.72,19.03,253050,2659,2829,97,108,352,258,506,3471,547,24,104,352,232,197.86,15
5eeac63b4fde164943e3e0f68b2d3,1246336320,1,182,0.31,33.33,0.47,66.67,7.61,13.33,2952,15,32,1,2,1,1,2,0,0,0,0,2,87,21.98,3
22e13249246520ce64ba1a35e5f5e,3599628936,1,219,0.47,100.0,1.08,50.0,4.02,35.71,1854,14,13,1,0,0,0,5,0,0,0,0,0,102,464.86,4
10edbac15ceacf705f3c120f30f2f,4187058377,8,217,0.28,45.0,0.4,54.55,5.14,9.76,34756,164,412,9,11,11,12,16,0,0,20,1,25,142,295.37,5
20ebfea342e8126bed8bb46832396,556426068,63,714,0.56,49.51,1.27,33.77,7.35,15.41,327668,3031,2391,101,103,209,175,467,664,89,262,125,239,251,330.76,30
64121a0cb9adda2824ecb3cf2330b,851471508,14,386,0.52,50.0,0.7,27.27,9.05,15.06,49106,425,609,16,16,52,52,64,560,63,55,300,70,202,153.75,6
27e55da7babb1c8ae62dbc60ac13a,3349317613,18,561,1.06,46.43,1.13,41.67,15.33,21.24,51093,904,800,13,15,115,126,192,1109,210,7,65,92,309,77.51,10
adc46df2e56bf42f2e737c54a23fc,1596349380,4,152,0.45,28.57,0.85,58.82,10.15,18.87,14023,106,124,2,5,10,12,20,0,4,3,0,12,128,65.42,4
ca2488df5b8a3959e9a4db36625a2,240521331,2,250,0.02,66.67,0.06,50.0,0.3,50.0,5121,2,32,2,1,0,0,1,0,0,6,0,0,114,29.77,1
2dba7fc2299b34b964990666b8592,2741667421,88,372,0.51,56.25,1.13,43.01,8.34,16.26,1105440,9376,8317,369,287,910,854,1525,14406,1624,340,4077,974,209,600.36,18
5d6b2b0d838f497b62039b34600ec,1758510657,35,610,0.46,31.63,0.8,26.87,13.65,15.36,143674,1094,1376,31,67,130,111,168,365,76,77,315,143,189,175.38,9
0902914eb400ba96389772443a5b0,1812783236,111,477,0.43,46.28,0.67,24.78,7.44,13.24,1345400,9614,14351,392,455,1005,934,1273,1267,513,1168,4446,1620,263,489.81,18
6a8dfc178ee460b5278f2434b2726,2008804707,1,361,0.0,50.0,0.0,33.33,14.29,0.0,506,0,2,1,1,0,0,0,0,0,0,0,0,85,0.0,0
b494ef9997dc9f87a6ecb8e7b64cc,3737929490,42,745,0.69,39.6,0.98,11.4,13.0,15.82,157988,1821,1851,40,61,200,163,288,372,113,230,15,187,275,256.67,12
2a4f331c71383f1dda7e2814b5860,629516239,124,461,0.45,40.72,3.24,11.35,32.94,5.58,2431300,18424,5685,531,773,744,760,1028,238,24,4521,2192,2189,286,463.82,42
785f2e4b7fae0dd8cad692f23e3e5,3073722715,88,380,0.3,42.46,0.51,34.48,5.3,16.62,1080620,5360,10418,242,328,524,266,891,2365,424,230,621,513,125,368.29,14
fa8298d19dcd653bb350d03c14a4b,1666284072,87,739,0.78,55.09,1.54,30.66,18.71,9.89,545516,7097,4615,157,128,668,663,702,2105,398,894,1500,679,343,165.23,32
d9019c3c2d2d9e4adb82fd7315789,694612021,78,411,0.49,49.9,0.73,27.29,10.05,21.59,813820,6620,9039,254,255,728,707,1429,2917,1145,301,1656,797,215,471.89,10
2bbfe9045ec66bfcb1e2a4c77c039,3887430779,118,827,0.73,44.46,1.2,23.14,11.27,21.24,1074630,13031,10901,285,356,1360,1459,2768,4748,1010,484,3161,1462,329,617.6,28
8c588564ccb35a8bd8ad7e290b6a2,1791399902,20,308,0.62,46.15,0.75,17.02,7.9,22.37,110008,1140,1511,36,42,105,112,255,530,302,8,4,122,236,445.29,9
